time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","AWS - App. Wind Speed","TWS - True Wind Speed","AWA - App. Wind Angle","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","VMG - Velocity Made Good","GPS Satellites","GPS HAcc","Battery Charge","Battery 1 Voltage","Battery 1 Temperature"
"2024-11-02 12:56:32.599","2024-11-03 13:43:39.329",38.200383,13.275653,89.74,0.1987402,89.74,1.955065,1.828725,-48.24,-52.89,36.85,0.33,-61.58,0.1199052,12,3.83,32,3.66,-247.6
"2024-11-02 12:56:33.599","2024-11-03 13:43:39.329",38.200367,13.275670,89.27,0.04942511,89.27,2.027049,1.999388,-55.38,-56.55,32.71,0.62,-61.51,0.02724186,13,3.475,32,3.658,-247.5
"2024-11-02 12:56:34.599","2024-11-03 13:43:39.329",38.200355,13.275682,89.13,0.04928672,89.13,1.946241,1.919699,-56.8,-58.03,31.09,0.86,-61.31,0.02609258,13,3.232,31,3.656,-247.5
"2024-11-02 12:56:35.599","2024-11-03 13:43:39.33",38.200352,13.275689,89.21,0.02874986,89.21,1.992924,1.975044,-51.22,-51.87,37.34,0.96,-61.39,0.01775144,12,3.043,32,3.658,-247.5
"2024-11-02 12:56:36.599","2024-11-03 13:43:39.33",38.200348,13.275696,89.08,0.02037113,89.08,2.19862,2.184915,-47.52,-47.91,41.17,1.97,-61.29,0.013653,12,2.898,32,3.66,-247.4
"2024-11-02 12:56:37.599","2024-11-03 13:43:39.33",38.200346,13.275702,89.01,0.02846765,89.01,2.224729,2.206451,-49.77,-50.34,38.68,0.54,-60.46,0.01817008,12,2.77,32,3.66,-247.8
"2024-11-02 12:56:38.599","2024-11-03 13:43:39.33",38.200339,13.275713,87.73,0.08418358,87.73,2.243381,2.191138,-50.79,-52.49,35.22,-1.91,-59.82,0.05124815,12,2.65,32,3.658,-247.4
"2024-11-02 12:56:39.399","2024-11-03 13:43:39.331",38.200330,13.275726,87.06,0.05241578,87.16,2.406377,2.375535,-53.45,-54.46,32.7,-3.15,-59.33,0.03046492,13,2.551,32,3.656,-247.4
"2024-11-02 12:56:40.599","2024-11-03 13:43:39.331",38.200321,13.275743,86.23,0.05492646,86.23,2.499294,2.47302,-60.87,-61.98,24.26,-3.04,-58.99,0.02580436,14,2.422,32,3.658,-247.5
"2024-11-02 12:56:41.599","2024-11-03 13:43:39.331",38.200316,13.275755,86.32,0.04959881,86.32,2.426489,2.408726,-68.47,-69.57,16.77,-2.29,-58.64,0.01731787,15,2.326,32,3.658,-247.5
"2024-11-02 12:56:42.599","2024-11-03 13:43:39.332",38.200313,13.275764,85.81,0.0381542,85.81,2.563619,2.551137,-70.5,-71.31,14.49,-2.93,-58.75,0.01222676,15,2.236,32,3.66,-247.4
"2024-11-02 12:56:43.599","2024-11-03 13:43:39.332",38.200312,13.275770,85.93,0.02996977,85.93,2.744592,2.734944,-70.92,-71.51,14.4,-3.19,-58.72,0.009501036,15,2.164,32,3.658,-247.5
"2024-11-02 12:56:44.599","2024-11-03 13:43:39.332",38.200310,13.275776,86.71,0.02343539,86.71,2.854672,2.844948,-65.27,-65.7,21.01,-3.24,-58.82,0.009644662,14,2.107,31,3.654,-247.4
"2024-11-02 12:56:45.599","2024-11-03 13:43:39.332",38.200309,13.275781,87.15,0.02989933,87.15,2.855117,2.842695,-65.17,-65.72,21.42,-3.29,-58.93,0.0122924,16,2.051,31,3.656,-247.4
"2024-11-02 12:56:46.599","2024-11-03 13:43:39.333",38.200309,13.275784,87.65,0.02489485,87.65,2.785246,2.777324,-71.2,-71.69,15.96,-2.96,-59.26,0.007821451,15,1.998,31,3.656,-247.5
"2024-11-02 12:56:47.599","2024-11-03 13:43:39.333",38.200310,13.275789,88.37,0.03379728,88.37,2.677167,2.663994,-66.72,-67.39,20.96,-2.8,-59.32,0.01299135,16,1.947,32,3.658,-247.4
"2024-11-02 12:56:48.599","2024-11-03 13:43:39.333",38.200310,13.275794,88.66,0.02902296,88.66,2.591001,2.576572,-59.91,-60.47,28.2,-3.01,-59.2,0.01430613,16,1.893,32,3.658,-247.4
"2024-11-02 12:56:49.599","2024-11-03 13:43:39.334",38.200309,13.275798,88.83,0.02897228,88.83,2.547246,2.534184,-62.91,-63.49,25.34,-3.08,-59.19,0.0129295,16,1.846,32,3.658,-247.4
"2024-11-02 12:56:50.599","2024-11-03 13:43:39.334",38.200309,13.275802,89.04,0.01879432,89.04,2.564304,2.556825,-66.36,-66.74,22.29,-3.09,-59.38,0.007420369,16,1.802,32,3.658,-247.4
"2024-11-02 12:56:51.599","2024-11-03 13:43:39.334",38.200310,13.275805,89.12,0.02151912,89.12,2.537702,2.528109,-63.31,-63.74,25.38,-3.18,-59.7,0.0095198,16,1.758,32,3.658,-247.4
"2024-11-02 12:56:52.599","2024-11-03 13:43:39.335",38.200310,13.275808,89.28,0.02415037,89.28,2.524398,2.513877,-63.92,-64.41,24.86,-3.18,-59.57,0.01042779,16,1.717,32,3.656,-247.2
"2024-11-02 12:56:53.599","2024-11-03 13:43:39.335",38.200310,13.275811,89.56,0.0233367,89.56,2.613021,2.603823,-66.55,-67.02,22.54,-2.85,-59.59,0.00911041,16,1.68,32,3.658,-247.2
"2024-11-02 12:56:54.599","2024-11-03 13:43:39.335",38.200311,13.275813,89.67,0.0296701,89.67,2.794246,2.784265,-70.05,-70.63,19.04,-2.87,-59.73,0.009840842,16,1.642,32,3.658,-247.2
"2024-11-02 12:56:55.599","2024-11-03 13:43:39.335",38.200310,13.275816,89.27,0.02802874,89.27,2.794905,2.786498,-72.27,-72.82,16.45,-3.38,-59.73,0.008279238,16,1.607,31,3.656,-247.2
"2024-11-02 12:56:56.599","2024-11-03 13:43:39.336",38.200309,13.275818,88.95,0.02888237,88.95,2.619475,2.608613,-67.61,-68.21,20.74,-3.32,-59.62,0.01072465,15,1.578,32,3.658,-247.2
"2024-11-02 12:56:57.599","2024-11-03 13:43:39.336",38.200308,13.275821,89.13,0.02591024,89.13,2.48411,2.473881,-66.47,-67.02,22.11,-3.34,-59.7,0.01011399,16,1.552,32,3.658,-247.1
"2024-11-02 12:56:58.599","2024-11-03 13:43:39.336",38.200306,13.275824,89.11,0.03250929,89.11,2.753604,2.741671,-68.15,-68.78,20.34,-2.99,-59.42,0.01176622,16,1.521,32,3.658,-247.1
"2024-11-02 12:56:59.599","2024-11-03 13:43:39.336",38.200305,13.275827,89.2,0.029922,89.2,2.95287,2.940261,-64.81,-65.34,23.86,-2.93,-59.47,0.01248411,16,1.492,32,3.658,-247.1
"2024-11-02 12:57:00.599","2024-11-03 13:43:39.337",38.200304,13.275830,88.86,0.02983444,88.86,2.880588,2.865846,-60.13,-60.65,28.21,-3.23,-59.8,0.01462463,16,1.464,31,3.656,-247.1
"2024-11-02 12:57:01.599","2024-11-03 13:43:39.337",38.200304,13.275832,88.65,0.0426715,88.65,2.707275,2.685717,-59.26,-60.04,28.61,-2.97,-59.78,0.02130626,16,1.435,32,3.658,-247.1
"2024-11-02 12:57:02.599","2024-11-03 13:43:39.337",38.200303,13.275834,88.15,0.0368226,88.15,2.581057,2.562522,-59.43,-60.13,28.01,-2.68,-59.81,0.01833761,16,1.407,32,3.658,-247.1
"2024-11-02 12:57:03.599","2024-11-03 13:43:39.337",38.200302,13.275837,87.06,0.04295156,87.06,2.432408,2.407239,-53.71,-54.54,32.52,-3.21,-59.5,0.02491732,16,1.386,32,3.658,-247.1
"2024-11-02 12:57:04.599","2024-11-03 13:43:39.338",38.200300,13.275839,86.05,0.04963619,86.05,2.189559,2.157969,-49.97,-50.98,35.07,-3.56,-61.55,0.03125064,16,1.364,32,3.658,-247
"2024-11-02 12:57:05.599","2024-11-03 13:43:39.338",38.200298,13.275839,86.97,0.09550679,86.97,2.126973,2.066206,-49.48,-51.51,35.46,-2.52,-61.39,0.05945367,15,1.34,32,3.658,-247.1
"2024-11-02 12:57:06.599","2024-11-03 13:43:39.338",38.200297,13.275840,87.88,0.06619263,87.88,2.147107,2.108441,-53.54,-54.99,32.89,-2.19,-61.17,0.03798141,15,1.318,32,3.658,-247.1
"2024-11-02 12:57:07.599","2024-11-03 13:43:39.338",38.200295,13.275841,87.2,0.07732497,87.2,2.103191,2.059503,-54.72,-56.48,30.73,-1.46,-60.57,0.04269926,16,1.299,32,3.658,-247
"2024-11-02 12:57:08.599","2024-11-03 13:43:39.339",38.200294,13.275841,85.98,0.05304585,85.98,2.133708,2.107316,-59.55,-60.79,25.19,-0.69,-60.43,0.02588891,16,1.284,32,3.658,-247
"2024-11-02 12:57:09.599","2024-11-03 13:43:39.339",38.200293,13.275842,84.84,0.05711581,84.84,2.230549,2.20638,-64.3,-65.63,19.2,-0.46,-59.65,0.02356191,16,1.27,32,3.658,-247
"2024-11-02 12:57:10.599","2024-11-03 13:43:39.339",38.200293,13.275843,83.48,0.09464829,83.48,2.426178,2.384212,-62.67,-64.69,18.79,-4.83,-58.95,0.04045736,15,1.259,32,3.656,-246.9
"2024-11-02 12:57:11.599","2024-11-03 13:43:39.34",38.200292,13.275845,81.6,0.1006589,81.6,2.548885,2.501154,-60.69,-62.7,18.9,-4.76,-59.12,0.04616165,15,1.25,32,3.658,-247
"2024-11-02 12:57:12.599","2024-11-03 13:43:39.34",38.200292,13.275847,80.73,0.09652223,80.73,2.403118,2.338583,-47.18,-48.91,31.82,-4.1,-59.12,0.06343384,15,1.234,32,3.658,-247
"2024-11-02 12:57:13.599","2024-11-03 13:43:39.34",38.200291,13.275849,80.33,0.08135101,80.33,2.329196,2.270068,-42.68,-44.08,36.26,-3.09,-59.25,0.05844018,16,1.226,32,3.658,-247
"2024-11-02 12:57:14.599","2024-11-03 13:43:39.34",38.200291,13.275851,79.5,0.06554401,79.5,2.319697,2.274006,-45.22,-46.4,33.1,-3.1,-59.19,0.04520514,16,1.219,32,3.658,-247.1
"2024-11-02 12:57:15.599","2024-11-03 13:43:39.341",38.200290,13.275852,78.53,0.08151923,78.53,2.091675,2.033189,-43.38,-44.95,33.59,-3.1,-59.01,0.05769277,16,1.213,32,3.658,-247
"2024-11-02 12:57:16.399","2024-11-03 13:43:39.341",38.200289,13.275853,77.58,0.04407941,77.71,1.958756,1.9268,-43.09,-43.98,33.72,-3.35,-59.44,0.03171739,16,1.209,31,3.656,-247
"2024-11-02 12:57:17.599","2024-11-03 13:43:39.341",38.200288,13.275854,76.95,0.04255339,76.95,2.398927,2.370557,-47.81,-48.57,28.38,-3.54,-59.26,0.02815744,16,1.198,32,3.658,-247
